run_id,algo,space,params,eligible,n_fit,silhouette_mean,silhouette_std,calinski_harabasz,davies_bouldin,stability_ari,prototype_fidelity,spatial_coherence,largest_share,size_entropy,noise_frac,k_effective,bic,aic
kmeans__k=18__space=raw,kmeans,raw,"{""k"": 18}",True,107362,0.5020788066324224,0.0029802485144488,34401.06887138251,0.9510447922441384,0.8331899305926777,0.2233207880344661,0.5622902372592284,0.1718205696615189,0.9256220282545258,0.0,18,,
kmeans__k=20__space=raw,kmeans,raw,"{""k"": 20}",True,107362,0.5150173653712953,0.0020741786728855,34618.87105190344,0.90446636629768,0.8613023743307632,0.2291323893970682,0.5565813435497537,0.1834913656601032,0.9030063714503446,0.0,20,,
kmeans__k=2__space=standard,kmeans,standard,"{""k"": 2}",True,107362,0.2610055377688856,0.0010938222658237,32862.51364014584,1.7321717969352717,0.9854732764467944,0.1078109047231378,0.2858114968996171,0.5599187794564184,0.9896157604297664,0.0,2,,
kmeans__k=3__space=standard,kmeans,standard,"{""k"": 3}",True,107362,0.2800967693060431,0.0017301946827127,32866.54603223597,1.4482012872634586,0.8666242178872272,0.1121598084517908,0.4415440827908162,0.5036418844656396,0.9428203308503909,0.0,3,,
kmeans__k=4__space=standard,kmeans,standard,"{""k"": 4}",True,107362,0.312032604166271,0.0011454107480369,34219.55095786193,1.309383249742577,0.940266909954764,0.1357023882408544,0.4481945874235609,0.3160988059089808,0.9860276060819562,0.0,4,,
kmeans__k=5__space=standard,kmeans,standard,"{""k"": 5}",True,107362,0.3536827068744443,0.0010624529164345,35083.20011960782,1.1585378246396725,0.9780277342455044,0.1506367615035064,0.4573337296753846,0.314915892028837,0.9755185653885328,0.0,5,,
kmeans__k=6__space=standard,kmeans,standard,"{""k"": 6}",True,107362,0.3851578440008542,0.0010096656667495,35887.302448097325,1.1675776278971488,0.9935095770065634,0.1484005196924791,0.468331182844899,0.3016430394366722,0.9509295934936928,0.0,6,,
kmeans__k=7__space=standard,kmeans,standard,"{""k"": 7}",True,107362,0.4124866286210936,0.0014040577969329,35721.618140006,1.1096102755407051,0.9206805571447616,0.1523292591584086,0.4807250850755224,0.2298112926361282,0.9652325633358112,0.0,7,,
kmeans__k=8__space=standard,kmeans,standard,"{""k"": 8}",True,107362,0.431910701367085,0.0017246210825535,34823.431304091595,1.1307517408547905,0.9419778322072124,0.1551426865841538,0.4991100189152194,0.2370391758722825,0.9614300111228644,0.0,8,,
kmeans__k=9__space=standard,kmeans,standard,"{""k"": 9}",True,107362,0.4219271559566729,0.0015653768195939,32782.48007083948,1.0727499491488033,0.8166075377132986,0.1750450469596982,0.5082366374476959,0.1806318809262122,0.9511627453551412,0.0,9,,
kmeans__k=10__space=standard,kmeans,standard,"{""k"": 10}",True,107362,0.4227105358071782,0.0012757866332076,32616.265211748367,1.1631499141447397,0.87386043253754,0.1777782644036218,0.5236844487926826,0.1762262252938656,0.9646945510363436,0.0,10,,
kmeans__k=12__space=standard,kmeans,standard,"{""k"": 12}",True,107362,0.4555931763864966,0.0018220132756898,32216.40274800981,1.028089404625668,0.8669768627232785,0.1893598360832528,0.545186829976803,0.1834168513999366,0.9434728393437538,0.0,12,,
kmeans__k=14__space=standard,kmeans,standard,"{""k"": 14}",True,107362,0.4666612856924725,0.0020538714446512,31765.573376584474,1.1090990093968964,0.8452964471181882,0.1900874722504469,0.5394875003264531,0.1834261656824574,0.9380072726525124,0.0,14,,
kmeans__k=16__space=standard,kmeans,standard,"{""k"": 16}",True,107362,0.493816432857845,0.0023185045414303,31827.632860986683,0.96640983200455,0.8415427108528891,0.2146485872895212,0.5562367213457253,0.1760678824910117,0.9228559948033432,0.0,16,,
kmeans__k=18__space=standard,kmeans,standard,"{""k"": 18}",True,107362,0.5057829271841768,0.001360202676118,32929.24042983041,0.9583476130276346,0.8668019728073318,0.2097629068718722,0.5563019682687299,0.17217451239731,0.9159565355311102,0.0,18,,
kmeans__k=20__space=standard,kmeans,standard,"{""k"": 20}",True,107362,0.5304562277066045,0.0018205737630297,33000.16506739226,0.9367725498274307,0.8871152075076375,0.2284440642610924,0.5609189412906007,0.1748104543507013,0.9198715990965908,0.0,20,,
kmeans__k=2__space=l2,kmeans,l2,"{""k"": 2}",True,107362,0.3007285952711334,0.0011746253373504,41004.88947640561,1.55193457154713,0.9993008060822944,0.1061204069212263,0.3002409572527218,0.5391572437175164,0.9955713275488906,0.0,2,,
kmeans__k=3__space=l2,kmeans,l2,"{""k"": 3}",True,107362,0.3146078659199484,0.001452286601567,36387.18739343973,1.3940048495016475,0.934559422887312,0.1128662734192795,0.419379592595607,0.5449600417279857,0.9032579877394998,0.0,3,,
kmeans__k=4__space=l2,kmeans,l2,"{""k"": 4}",True,107362,0.3377728673093899,0.0011587072421469,37873.69070015666,1.2920249505391013,0.5642938281629033,0.1381798888374945,0.4447331294311994,0.3378849127251728,0.9726275040368078,0.0,4,,
kmeans__k=5__space=l2,kmeans,l2,"{""k"": 5}",True,107362,0.3972736731487989,0.0010411521838097,42368.33869604424,1.0622785107511608,0.998286555187626,0.1530797409070516,0.4414719937528354,0.3388070266947337,0.962825658659738,0.0,5,,
kmeans__k=6__space=l2,kmeans,l2,"{""k"": 6}",True,107362,0.419793011316005,0.0007130264875048,40631.309167616615,1.1181965109738894,0.999032631652533,0.1489355935835253,0.4471063542427777,0.329911886887353,0.9317890313590252,0.0,6,,
kmeans__k=7__space=l2,kmeans,l2,"{""k"": 7}",True,107362,0.4390073254471361,0.0012012031267799,39873.71912597772,1.075423425322615,0.876631562381807,0.1532469392790325,0.4617064044342437,0.2513365995417373,0.9536226770381914,0.0,7,,
kmeans__k=8__space=l2,kmeans,l2,"{""k"": 8}",True,107362,0.4353546765952386,0.0011027458711068,38211.72247391751,1.1974976570663045,0.8203115557226622,0.1540411054466273,0.4825353875757932,0.2491011717367411,0.9519660566476942,0.0,8,,
kmeans__k=9__space=l2,kmeans,l2,"{""k"": 9}",True,107362,0.439763037952731,0.0017730866730575,38062.71121699125,1.1703167292889018,0.9758587362569788,0.1656826029350591,0.4908973062410802,0.249157057431866,0.9540860085356998,0.0,9,,
kmeans__k=10__space=l2,kmeans,l2,"{""k"": 10}",True,107362,0.4528354537187774,0.0012302789717781,36624.15524557528,1.068885633841499,0.8922535278209637,0.1737089338287221,0.5187650584277471,0.2080810715150612,0.9377833301959132,0.0,10,,
kmeans__k=12__space=l2,kmeans,l2,"{""k"": 12}",True,107362,0.4652243484063721,0.0015067175954268,36952.367323239,1.0620748114185186,0.9267159769517006,0.1827971213841714,0.5249261906507452,0.1925914196829418,0.9435145503458934,0.0,12,,
